river_rivière,age_âge,year_année,latitude_latitude,longitude_longitude,n_n,mean fork length_longueur moyenne à la fourche
Harry's River,1,1997,48.507227,-58.506807,40,523.075
LaHave River,1,1997,44.53333,-64.71667,152,558.5197368
LaHave River,2,1997,44.53333,-64.71667,42,721.9285714
Middle Brook,1,1997,48.794529,-54.291912,48,538.2916667
Miramichi River,1,1997,46.93316907,-65.65078752,559,573.6690519
Miramichi River,2,1997,46.93316907,-65.65078752,726,761.392562
Nashwaak River,1,1997,46.117667,-66.589062,91,588.967033
Nashwaak River,2,1997,46.117667,-66.589062,70,777.0142857
Northeast River,1,1997,47.270081,-53.837846,39,539.6923077
Rocky River,1,1997,47.225684,-53.564593,27,581.6296296
Saint John River,1,1997,45.95542,-66.607509,48,572.0833333
Saint John River,2,1997,45.95542,-66.607509,344,773.6337209
Terra Nova River,1,1997,48.66762,-54.002506,84,518.3809524
Torrent River,1,1997,50.612932,-57.168795,44,559.2954545
Western Arm Brook,1,1997,51.190752,-56.753424,42,545.6190476
Conne River,1,1998,47.868005,-55.705978,135,502.3703704
Exploits River,1,1998,49.088976,-55.354689,157,543.3184713
Gander River,1,1998,49.260019,-54.499243,16,539.5625
Harry's River,1,1998,48.507227,-58.506807,59,491.2881356
LaHave River,1,1998,44.53333,-64.71667,300,547.2533333
LaHave River,2,1998,44.53333,-64.71667,38,730
Middle Brook,1,1998,48.794529,-54.291912,16,526.125
Miramichi River,1,1998,46.93316907,-65.65078752,1156,561.2551903
Miramichi River,2,1998,46.93316907,-65.65078752,253,752.8616601
Nashwaak River,1,1998,46.117667,-66.589062,113,576.2831858
Nashwaak River,2,1998,46.117667,-66.589062,48,772.875
Northeast River,1,1998,47.270081,-53.837846,31,537.1612903
Rocky River,1,1998,47.225684,-53.564593,28,556.0357143
Saint John River,1,1998,45.95542,-66.607509,236,576.3559322
Saint John River,2,1998,45.95542,-66.607509,115,782.0869565
Terra Nova River,1,1998,48.66762,-54.002506,85,515.4117647
Torrent River,1,1998,50.612932,-57.168795,43,549.9534884
Western Arm Brook,1,1998,51.190752,-56.753424,103,543.592233
Conne River,1,1999,47.868005,-55.705978,112,512.9464286
Exploits River,1,1999,49.088976,-55.354689,126,544.7619048
Gander River,1,1999,49.260019,-54.499243,46,540.2826087
LaHave River,1,1999,44.53333,-64.71667,143,558.2167832
