River_name__nom_de_la_rivière,Site_name__nom_du_site,Latitude__latitude,Longitude__longitude,Arrival_date__date_d_arrivée,Departure_date__date_de_départ,Time_released__date_de_libération,Operating_condition_display__affichage_état_de_fonctionnement,Rpm_arrival__rpm_arrivée,Rpm_departure__rpm_départ,Air_temp_arrival__temp_air_arrivée,Water_temp_trap_c__temp_eau_piège_c,Relative_water_level_m__niveau_d_eau_relatif_m,Species__espèces,Status__statut,Life_stage__stade_de_vie,Adipose_condition_display,Total_length__longueur_totale,Fork_length__longueur_à_la_fourche,Weight__poid,Sex__sexe,Age__âge,Age_type__âge_type,Tag_number__numéro_d_étiquette,Sample_id__numéro_d_identification_de_l_échantillon,Specimen_id__numéro_d_identification_du_spécimen
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-08 11:27:00+00:00,2022-05-08 11:53:00+00:00,,fully operational,10.0,10.0,2.0,4.0,,Atlantic salmon,"Released, sampled",smolt,Present,,120.0,,,,,,4115,654767
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-08 11:27:00+00:00,2022-05-08 11:53:00+00:00,,fully operational,10.0,10.0,2.0,4.0,,Atlantic salmon,"Released, sampled",smolt,Present,,123.0,,,,,,4115,654768
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-08 11:27:00+00:00,2022-05-08 11:53:00+00:00,,fully operational,10.0,10.0,2.0,4.0,,Atlantic salmon,"Released, sampled",smolt,Present,,134.0,,,,,,4115,654769
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-08 11:27:00+00:00,2022-05-08 11:53:00+00:00,,fully operational,10.0,10.0,2.0,4.0,,Atlantic salmon,"Released, sampled",smolt,Present,,116.0,,,,,,4115,654770
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-08 11:27:00+00:00,2022-05-08 11:53:00+00:00,,fully operational,10.0,10.0,2.0,4.0,,Atlantic salmon,"Released, sampled",parr,Present,,71.0,,,,,,4115,654771
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-08 11:27:00+00:00,2022-05-08 11:53:00+00:00,,fully operational,10.0,10.0,2.0,4.0,,Atlantic salmon,"Released, sampled",parr,Present,,70.0,,,,,,4115,654772
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-08 11:27:00+00:00,2022-05-08 11:53:00+00:00,,fully operational,10.0,10.0,2.0,4.0,,Atlantic salmon,"Released, sampled",parr,Present,,80.0,,,,,,4115,654773
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-08 11:27:00+00:00,2022-05-08 11:53:00+00:00,,fully operational,10.0,10.0,2.0,4.0,,Brook trout,"Released, sampled",,,,310.0,,,,,,4115,654774
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-09 11:40:00+00:00,2022-05-09 17:17:00+00:00,,fully operational,9.0,12.0,4.0,4.5,,Atlantic salmon,"Released, sampled",smolt,Present,,126.0,,,,,,4117,654878
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-09 11:40:00+00:00,2022-05-09 17:17:00+00:00,,fully operational,9.0,12.0,4.0,4.5,,Atlantic salmon,"Released, sampled",smolt,Present,,113.0,,,,,,4117,654879
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-09 11:40:00+00:00,2022-05-09 17:17:00+00:00,,fully operational,9.0,12.0,4.0,4.5,,Atlantic salmon,"Released, sampled",smolt,Present,,120.0,,,,,,4117,654880
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-09 11:40:00+00:00,2022-05-09 17:17:00+00:00,,fully operational,9.0,12.0,4.0,4.5,,Atlantic salmon,"Released, sampled",smolt,Present,,116.0,,,,,,4117,654881
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-09 11:40:00+00:00,2022-05-09 17:17:00+00:00,,fully operational,9.0,12.0,4.0,4.5,,Atlantic salmon,"Released, sampled",parr,Present,,73.0,,,,,,4117,654882
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-09 11:40:00+00:00,2022-05-09 17:17:00+00:00,,fully operational,9.0,12.0,4.0,4.5,,Atlantic salmon,"Released, sampled",parr,Present,,74.0,,,,,,4117,654883
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-09 11:40:00+00:00,2022-05-09 17:17:00+00:00,,fully operational,9.0,12.0,4.0,4.5,,Atlantic salmon,"Released, sampled",parr,Present,,77.0,,,,,,4117,654884
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-09 11:40:00+00:00,2022-05-09 17:17:00+00:00,,fully operational,9.0,12.0,4.0,4.5,,Atlantic salmon,"Released, sampled",parr,Present,,70.0,,,,,,4117,654885
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-09 11:40:00+00:00,2022-05-09 17:17:00+00:00,,fully operational,9.0,12.0,4.0,4.5,,Atlantic salmon,"Released, sampled",parr,Present,,70.0,,,,,,4117,654886
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-09 11:40:00+00:00,2022-05-09 17:17:00+00:00,,fully operational,9.0,12.0,4.0,4.5,,Atlantic salmon,"Released, sampled",parr,Present,,72.0,,,,,,4117,654887
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-09 11:40:00+00:00,2022-05-09 17:17:00+00:00,,fully operational,9.0,12.0,4.0,4.5,,Gaspereau,"Released, unsampled",,,,,,,,,,4117,654888
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-10 12:16:00+00:00,2022-05-10 14:02:00+00:00,2022-05-11 14:02:00+00:00,fully operational,13.5,12.0,14.0,5.5,,Atlantic salmon,"Released, tagged",smolt,Present,,159.0,,,,,M00029,4116,654775
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-10 12:16:00+00:00,2022-05-10 14:02:00+00:00,2022-05-11 14:02:00+00:00,fully operational,13.5,12.0,14.0,5.5,,Atlantic salmon,"Released, tagged",smolt,Present,,119.0,,,,,M00030,4116,654776
